,root,virality,volume
113,"['1008358387329925120', '1008358587465428993']",340.0,23719
114,"['1008364707500130306', '1008366391941005312']",81.0,9
115,"['1008364247930359809', '1008365406346727424']",4.0,2
116,"['1008360463355273217', '1008365254559059969']",1.0,1
117,"['1008364939235463168', '1008365269494796289']",9.0,3
118,"['1008362285553704960', '1008362824421134341']",1.0,1
119,"['1008359298978549761', '1008359883236753408']",1.0,1
120,"['1008359215352688640', '1008359889628954630']",1.0,1
121,"['1008357487936880640', '1008359902492782593']",1.0,1
122,"['1008364707500130306', '1008366391941005312']",81.0,9
123,"['1008364097992384513', '1008367486398541825']",1.0,1
124,"['1008365411988013057', '1008366851766681600']",100.0,10
125,"['1008362102128566272', '1008365779585298434']",10.0,4
126,"['1008365770714251264', '1008365779924979712']",1.0,1
127,"['1008363768231989248', '1008366967143714821']",144.0,12
128,"['1008361716772720641', '1008363119402471424']",4.0,2
129,"['1008362652425474048', '1008363131872120833']",4.0,2
130,"['1008356782044078081', '1008361411037351936']",10.0,3
131,"['1008358447732219908', '1008361427952898049']",1.0,1
132,"['1008358926600101888', '1008361430314151936']",1.0,1
133,"['1008361197584781312', '1008361443312336897']",56.0,24
134,"['1008360074891419649', '1008365543274045441']",100.0,10
135,"['1008366668240781314', '1008368049240457217']",1.0,1
136,"['1008364588159692800', '1008368072162467840']",1.0,1
137,"['1008360416366514180', '1008360653797646336']",1.0,1
138,"['1008360262942900226', '1008360688450973700']",1.0,1
139,"['1008366997896417280', '1008368636564836352']",25.0,5
140,"['1008359602390552576', '1008368203293167618']",1.0,1
141,"['1008367124157431809', '1008367592724049922']",49.0,7
142,"['1008366484094115846', '1008367957880303616']",4.0,2
143,"['1008366431279468546', '1008367830578823168']",9.0,3
144,"['1008367062656446464', '1008367836383891463']",1.0,1
145,"['1008359362811912193', '1008361554977357824']",1.0,1
146,"['1008368040831004672', '1008368818035613698']",1.0,1
147,"['1008365411988013057', '1008366851766681600']",100.0,10
148,"['1008364443024183296', '1008365657396826112']",1.0,1
149,"['1008364900706484226', '1008365660240424960']",120.0,626
150,"['1008357858818383872', '1008365661834350592']",81.0,9
151,"['1008365582826311680', '1008365663595958272']",4.0,2
152,"['1008364939235463168', '1008365269494796289']",9.0,3
153,"['1008357829479149569', '1008359102005772288']",1.0,1
154,"['1008359199594700805', '1008360318182051842']",81.0,9
155,"['1008359397523800064', '1008360328428544002']",10.0,4
156,"['1008357546145480704', '1008360332178460673']",1.0,1
157,"['1008363023625404416', '1008365891044638720']",1.0,1
158,"['1008365764968177664', '1008365922208370688']",20.0,9
159,"['1008358106731106306', '1008365925094100993']",9.0,3
160,"['1008360074891419649', '1008365543274045441']",100.0,10
161,"['1008365538274430976', '1008369029130674176']",1.0,1
162,"['1008367816985149445', '1008369047019380736']",1.0,1
163,"['1008362299143356417', '1008369055429021697']",1.0,1
164,"['1008357172726714368', '1008357247557218304']",1.0,1
165,"['1008360301597806592', '1008360481478803456']",1.0,1
166,"['1008357422157705216', '1008357779243962368']",1.0,1
167,"['1008360728846307328', '1008361138365575169']",1.0,1
168,"['1008358709318356994', '1008361147274317830']",1.0,1
169,"['1008361131755425795', '1008361834460655617']",9.0,3
170,"['1008365588626829312', '1008366252371218432']",9.0,3
171,"['1008363915410067456', '1008366264874610688']",1.0,1
172,"['1008366222621233152', '1008366283807707136']",1.0,1
173,"['1008360074891419649', '1008365543274045441']",100.0,10
174,"['1008358681883435008', '1008360968806653954']",1.0,1
