,root,virality,volume
498,"['1008360312133697536', '1008362060059762688']",4.0,2
499,"['1008360074891419649', '1008365543274045441']",100.0,10
500,"['1008360074891419649', '1008365543274045441']",100.0,10
501,"['1008361975821238273', '1008365214029500416']",9.0,3
502,"['1008364987616841728', '1008365214637678593']",1.0,1
503,"['1008364789003882496', '1008365215468130305']",1.0,1
504,"['1008359192501997568', '1008365220006260736']",4.0,2
505,"['1008363849903411200', '1008365225744240640']",1.0,1
506,"['1008364367346327552', '1008365226176188418']",1.0,1
507,"['1008368244959469568', '1008368472450125825']",1.0,1
508,"['1008362056708341760', '1008368479118843905']",1.0,1
509,"['1008362492093857792', '1008368479173349376']",4.0,2
510,"['1008367861058895873', '1008368489357303808']",10.0,4
511,"['1008364536632508416', '1008366328149782529']",1.0,1
512,"['1008365610085048320', '1008366338623131648']",1.0,1
513,"['1008365514157101056', '1008366348873928704']",1.0,1
514,"['1008366123048427520', '1008366353076621313']",1.0,1
515,"['1008363960809054208', '1008366356910075905']",1.0,1
516,"['1008359199594700805', '1008360318182051842']",81.0,9
517,"['1008365224292966400', '1008366097974923264']",4.0,2
518,"['1008362481704689675', '1008364083576561665']",9.0,3
519,"['1008365862850449408', '1008366118254399489']",1.0,1
520,"['1008359647043031041', '1008365970753314816']",1.0,1
521,"['1008365170224181248', '1008365976352632834']",1.0,1
522,"['1008360097041526784', '1008365983298473986']",4.0,2
523,"['1008363749474959361', '1008365997814943744']",20.0,9
524,"['1008368237489348608', '1008368884276170757']",1.0,1
525,"['1008367874594037761', '1008368903515443202']",1.0,1
526,"['1008367826745352192', '1008368906367569920']",4.0,2
527,"['1008367510884962308', '1008368353411551233']",1.0,1
528,"['1008367977803239425', '1008368358830628864']",1.0,1
529,"['1008367826745352192', '1008368906367569920']",4.0,2
530,"['1008363768231989248', '1008366967143714821']",144.0,12
531,"['1008361984453238784', '1008364112554942466']",36.0,6
532,"['1008362771627593728', '1008363300185366528']",1.0,1
533,"['1008357305061199874', '1008363317692420096']",1.0,1
534,"['1008362845564755970', '1008364292205314049']",4.0,2
535,"['1008362378797469696', '1008363326483652608']",1.0,1
536,"['1008362856885248000', '1008363333957890054']",1.0,1
537,"['1008364275264606208', '1008365471295590400']",1.0,1
538,"['1008364620413882368', '1008365489440075776']",1.0,1
539,"['1008362767768870913', '1008365503096786945']",1.0,1
540,"['1008364247930359809', '1008365406346727424']",4.0,2
541,"['1008364238459559939', '1008364608657207296']",1.0,1
542,"['1008365594784292864', '1008366932909875201']",10.0,3
543,"['1008359140471820289', '1008366467082047489']",1.0,1
544,"['1008361984453238784', '1008364112554942466']",36.0,6
545,"['1008362428134981633', '1008366469418233856']",1.0,1
546,"['1008361730672680961', '1008367639645884416']",4.0,2
547,"['1008362078451585025', '1008362184697495552']",1.0,1
548,"['1008361882175057920', '1008362200837345286']",1.0,1
549,"['1008361071663632385', '1008368567295922177']",10.0,4
550,"['1008366997896417280', '1008368636564836352']",25.0,5
551,"['1008367603801362433', '1008368144140914690']",1.0,1
552,"['1008358703844773888', '1008358706160001025']",4.0,2
553,"['1008358710794752002', '1008358712157843456']",1.0,1
554,"['1008365411988013057', '1008366851766681600']",100.0,10
555,"['1008364713552510979', '1008367896567873536']",4.0,2
556,"['1008365812409921538', '1008366798486589440']",1.0,1
557,"['1008364068451651584', '1008365039210901504']",16.0,4
558,"['1008365588626829312', '1008366252371218432']",9.0,3
559,"['1008363897236180995', '1008367517629341696']",4.0,2
560,"['1008359936651169793', '1008361517673140224']",1.0,1
561,"['1008359181538209792', '1008361538653163520']",1.0,1
562,"['1008363995865276417', '1008364691507367937']",1.0,1
563,"['1008364183493234694', '1008364699329720321']",1.0,1
564,"['1008363680524853249', '1008363979490684928']",25.0,5
565,"['1008364614256594944', '1008364722322903041']",10.0,4
566,"['1008361975821238273', '1008365214029500416']",9.0,3
567,"['1008361374869794816', '1008365849823072257']",4.0,161355
568,"['1008361374869794816', '1008365849823072257']",4.0,161355
569,"['1008361374869794816', '1008365849823072257']",4.0,161355
570,"['1008361374869794816', '1008365849823072257']",4.0,161355
571,"['1008361374869794816', '1008365849823072257']",4.0,161355
572,"['1008361374869794816', '1008365849823072257']",4.0,161355
573,"['1008361374869794816', '1008365849823072257']",4.0,161355
574,"['1008361374869794816', '1008365849823072257']",4.0,161355
575,"['1008361374869794816', '1008365849823072257']",4.0,161355
576,"['1008361374869794816', '1008365849823072257']",4.0,161355
577,"['1008361374869794816', '1008365849823072257']",4.0,161355
578,"['1008361374869794816', '1008365849823072257']",4.0,161355
579,"['1008361374869794816', '1008365849823072257']",4.0,161355
580,"['1008361374869794816', '1008365849823072257']",4.0,161355
581,"['1008361374869794816', '1008365849823072257']",4.0,161355
582,"['1008361374869794816', '1008365849823072257']",4.0,161355
583,"['1008361374869794816', '1008365849823072257']",4.0,161355
584,"['1008361374869794816', '1008365849823072257']",4.0,161355
585,"['1008361374869794816', '1008365849823072257']",4.0,161355
586,"['1008361374869794816', '1008365849823072257']",4.0,161355
587,"['1008361374869794816', '1008365849823072257']",4.0,161355
588,"['1008361374869794816', '1008365849823072257']",4.0,161355
589,"['1008361374869794816', '1008365849823072257']",4.0,161355
590,"['1008361374869794816', '1008365849823072257']",4.0,161355
591,"['1008361374869794816', '1008365849823072257']",4.0,161355
592,"['1008361374869794816', '1008365849823072257']",4.0,161355
593,"['1008361374869794816', '1008365849823072257']",4.0,161355
594,"['1008361374869794816', '1008365849823072257']",4.0,161355
595,"['1008361374869794816', '1008365849823072257']",4.0,161355
596,"['1008361374869794816', '1008365849823072257']",4.0,161355
597,"['1008361374869794816', '1008365849823072257']",4.0,161355
598,"['1008361374869794816', '1008365849823072257']",4.0,161355
599,"['1008361374869794816', '1008365849823072257']",4.0,161355
600,"['1008361374869794816', '1008365849823072257']",4.0,161355
601,"['1008361374869794816', '1008365849823072257']",4.0,161355
602,"['1008361374869794816', '1008365849823072257']",4.0,161355
603,"['1008361374869794816', '1008365849823072257']",4.0,161355
604,"['1008361374869794816', '1008365849823072257']",4.0,161355
605,"['1008361374869794816', '1008365849823072257']",4.0,161355
606,"['1008361374869794816', '1008365849823072257']",4.0,161355
607,"['1008361374869794816', '1008365849823072257']",4.0,161355
608,"['1008361374869794816', '1008365849823072257']",4.0,161355
609,"['1008361374869794816', '1008365849823072257']",4.0,161355
610,"['1008361374869794816', '1008365849823072257']",4.0,161355
611,"['1008361374869794816', '1008365849823072257']",4.0,161355
612,"['1008361374869794816', '1008365849823072257']",4.0,161355
613,"['1008361374869794816', '1008365849823072257']",4.0,161355
614,"['1008361374869794816', '1008365849823072257']",4.0,161355
615,"['1008361374869794816', '1008365849823072257']",4.0,161355
616,"['1008361374869794816', '1008365849823072257']",4.0,161355
617,"['1008361374869794816', '1008365849823072257']",4.0,161355
618,"['1008361374869794816', '1008365849823072257']",4.0,161355
619,"['1008361374869794816', '1008365849823072257']",4.0,161355
620,"['1008361374869794816', '1008365849823072257']",4.0,161355
621,"['1008361374869794816', '1008365849823072257']",4.0,161355
622,"['1008361374869794816', '1008365849823072257']",4.0,161355
623,"['1008361374869794816', '1008365849823072257']",4.0,161355
624,"['1008361374869794816', '1008365849823072257']",4.0,161355
625,"['1008361374869794816', '1008365849823072257']",4.0,161355
626,"['1008361374869794816', '1008365849823072257']",4.0,161355
627,"['1008361374869794816', '1008365849823072257']",4.0,161355
628,"['1008361374869794816', '1008365849823072257']",4.0,161355
629,"['1008361374869794816', '1008365849823072257']",4.0,161355
630,"['1008361374869794816', '1008365849823072257']",4.0,161355
631,"['1008361374869794816', '1008365849823072257']",4.0,161355
632,"['1008361374869794816', '1008365849823072257']",4.0,161355
633,"['1008361374869794816', '1008365849823072257']",4.0,161355
634,"['1008361374869794816', '1008365849823072257']",4.0,161355
635,"['1008361374869794816', '1008365849823072257']",4.0,161355
636,"['1008361374869794816', '1008365849823072257']",4.0,161355
637,"['1008361374869794816', '1008365849823072257']",4.0,161355
638,"['1008361374869794816', '1008365849823072257']",4.0,161355
639,"['1008361374869794816', '1008365849823072257']",4.0,161355
640,"['1008361374869794816', '1008365849823072257']",4.0,161355
641,"['1008361374869794816', '1008365849823072257']",4.0,161355
642,"['1008361374869794816', '1008365849823072257']",4.0,161355
643,"['1008361374869794816', '1008365849823072257']",4.0,161355
644,"['1008361374869794816', '1008365849823072257']",4.0,161355
645,"['1008361374869794816', '1008365849823072257']",4.0,161355
646,"['1008361374869794816', '1008365849823072257']",4.0,161355
647,"['1008361374869794816', '1008365849823072257']",4.0,161355
648,"['1008361374869794816', '1008365849823072257']",4.0,161355
649,"['1008361374869794816', '1008365849823072257']",4.0,161355
650,"['1008361374869794816', '1008365849823072257']",4.0,161355
651,"['1008361374869794816', '1008365849823072257']",4.0,161355
652,"['1008361374869794816', '1008365849823072257']",4.0,161355
653,"['1008361374869794816', '1008365849823072257']",4.0,161355
654,"['1008361374869794816', '1008365849823072257']",4.0,161355
655,"['1008361374869794816', '1008365849823072257']",4.0,161355
656,"['1008361374869794816', '1008365849823072257']",4.0,161355
657,"['1008361374869794816', '1008365849823072257']",4.0,161355
658,"['1008361374869794816', '1008365849823072257']",4.0,161355
659,"['1008361374869794816', '1008365849823072257']",4.0,161355
660,"['1008361374869794816', '1008365849823072257']",4.0,161355
661,"['1008361374869794816', '1008365849823072257']",4.0,161355
662,"['1008361374869794816', '1008365849823072257']",4.0,161355
663,"['1008361374869794816', '1008365849823072257']",4.0,161355
664,"['1008361374869794816', '1008365849823072257']",4.0,161355
665,"['1008361374869794816', '1008365849823072257']",4.0,161355
666,"['1008361374869794816', '1008365849823072257']",4.0,161355
667,"['1008361374869794816', '1008365849823072257']",4.0,161355
668,"['1008361374869794816', '1008365849823072257']",4.0,161355
669,"['1008361374869794816', '1008365849823072257']",4.0,161355
670,"['1008361374869794816', '1008365849823072257']",4.0,161355
671,"['1008361374869794816', '1008365849823072257']",4.0,161355
672,"['1008361374869794816', '1008365849823072257']",4.0,161355
673,"['1008361374869794816', '1008365849823072257']",4.0,161355
674,"['1008361374869794816', '1008365849823072257']",4.0,161355
675,"['1008361374869794816', '1008365849823072257']",4.0,161355
676,"['1008361374869794816', '1008365849823072257']",4.0,161355
677,"['1008361374869794816', '1008365849823072257']",4.0,161355
678,"['1008361374869794816', '1008365849823072257']",4.0,161355
679,"['1008361374869794816', '1008365849823072257']",4.0,161355
680,"['1008361374869794816', '1008365849823072257']",4.0,161355
681,"['1008361374869794816', '1008365849823072257']",4.0,161355
682,"['1008361374869794816', '1008365849823072257']",4.0,161355
683,"['1008361374869794816', '1008365849823072257']",4.0,161355
684,"['1008361374869794816', '1008365849823072257']",4.0,161355
685,"['1008361374869794816', '1008365849823072257']",4.0,161355
686,"['1008361374869794816', '1008365849823072257']",4.0,161355
687,"['1008361374869794816', '1008365849823072257']",4.0,161355
688,"['1008361374869794816', '1008365849823072257']",4.0,161355
689,"['1008361374869794816', '1008365849823072257']",4.0,161355
690,"['1008361374869794816', '1008365849823072257']",4.0,161355
691,"['1008361374869794816', '1008365849823072257']",4.0,161355
692,"['1008361374869794816', '1008365849823072257']",4.0,161355
693,"['1008361374869794816', '1008365849823072257']",4.0,161355
694,"['1008361374869794816', '1008365849823072257']",4.0,161355
695,"['1008361374869794816', '1008365849823072257']",4.0,161355
696,"['1008361374869794816', '1008365849823072257']",4.0,161355
697,"['1008361374869794816', '1008365849823072257']",4.0,161355
698,"['1008361374869794816', '1008365849823072257']",4.0,161355
699,"['1008361374869794816', '1008365849823072257']",4.0,161355
700,"['1008361374869794816', '1008365849823072257']",4.0,161355
701,"['1008361374869794816', '1008365849823072257']",4.0,161355
702,"['1008361374869794816', '1008365849823072257']",4.0,161355
703,"['1008361374869794816', '1008365849823072257']",4.0,161355
704,"['1008361374869794816', '1008365849823072257']",4.0,161355
705,"['1008361374869794816', '1008365849823072257']",4.0,161355
706,"['1008361374869794816', '1008365849823072257']",4.0,161355
707,"['1008361374869794816', '1008365849823072257']",4.0,161355
708,"['1008361374869794816', '1008365849823072257']",4.0,161355
709,"['1008361374869794816', '1008365849823072257']",4.0,161355
710,"['1008361374869794816', '1008365849823072257']",4.0,161355
711,"['1008361374869794816', '1008365849823072257']",4.0,161355
712,"['1008361374869794816', '1008365849823072257']",4.0,161355
713,"['1008361374869794816', '1008365849823072257']",4.0,161355
714,"['1008361374869794816', '1008365849823072257']",4.0,161355
715,"['1008361374869794816', '1008365849823072257']",4.0,161355
716,"['1008361374869794816', '1008365849823072257']",4.0,161355
717,"['1008361374869794816', '1008365849823072257']",4.0,161355
718,"['1008361374869794816', '1008365849823072257']",4.0,161355
719,"['1008361374869794816', '1008365849823072257']",4.0,161355
720,"['1008361374869794816', '1008365849823072257']",4.0,161355
721,"['1008361374869794816', '1008365849823072257']",4.0,161355
722,"['1008361374869794816', '1008365849823072257']",4.0,161355
723,"['1008361374869794816', '1008365849823072257']",4.0,161355
724,"['1008361374869794816', '1008365849823072257']",4.0,161355
725,"['1008361374869794816', '1008365849823072257']",4.0,161355
726,"['1008361374869794816', '1008365849823072257']",4.0,161355
727,"['1008361374869794816', '1008365849823072257']",4.0,161355
728,"['1008361374869794816', '1008365849823072257']",4.0,161355
729,"['1008361374869794816', '1008365849823072257']",4.0,161355
730,"['1008361374869794816', '1008365849823072257']",4.0,161355
731,"['1008361374869794816', '1008365849823072257']",4.0,161355
732,"['1008361374869794816', '1008365849823072257']",4.0,161355
733,"['1008361374869794816', '1008365849823072257']",4.0,161355
734,"['1008361374869794816', '1008365849823072257']",4.0,161355
735,"['1008361374869794816', '1008365849823072257']",4.0,161355
736,"['1008361374869794816', '1008365849823072257']",4.0,161355
737,"['1008361374869794816', '1008365849823072257']",4.0,161355
738,"['1008361374869794816', '1008365849823072257']",4.0,161355
739,"['1008361374869794816', '1008365849823072257']",4.0,161355
740,"['1008361374869794816', '1008365849823072257']",4.0,161355
741,"['1008361374869794816', '1008365849823072257']",4.0,161355
742,"['1008361374869794816', '1008365849823072257']",4.0,161355
743,"['1008361374869794816', '1008365849823072257']",4.0,161355
744,"['1008361374869794816', '1008365849823072257']",4.0,161355
745,"['1008361374869794816', '1008365849823072257']",4.0,161355
746,"['1008361374869794816', '1008365849823072257']",4.0,161355
747,"['1008361374869794816', '1008365849823072257']",4.0,161355
748,"['1008361374869794816', '1008365849823072257']",4.0,161355
749,"['1008361374869794816', '1008365849823072257']",4.0,161355
750,"['1008361374869794816', '1008365849823072257']",4.0,161355
751,"['1008361374869794816', '1008365849823072257']",4.0,161355
752,"['1008361374869794816', '1008365849823072257']",4.0,161355
753,"['1008361374869794816', '1008365849823072257']",4.0,161355
754,"['1008361374869794816', '1008365849823072257']",4.0,161355
755,"['1008361374869794816', '1008365849823072257']",4.0,161355
756,"['1008361374869794816', '1008365849823072257']",4.0,161355
757,"['1008361374869794816', '1008365849823072257']",4.0,161355
758,"['1008361374869794816', '1008365849823072257']",4.0,161355
759,"['1008361374869794816', '1008365849823072257']",4.0,161355
760,"['1008361374869794816', '1008365849823072257']",4.0,161355
761,"['1008361374869794816', '1008365849823072257']",4.0,161355
762,"['1008361374869794816', '1008365849823072257']",4.0,161355
763,"['1008361374869794816', '1008365849823072257']",4.0,161355
764,"['1008361374869794816', '1008365849823072257']",4.0,161355
765,"['1008361374869794816', '1008365849823072257']",4.0,161355
766,"['1008361374869794816', '1008365849823072257']",4.0,161355
767,"['1008361374869794816', '1008365849823072257']",4.0,161355
768,"['1008361374869794816', '1008365849823072257']",4.0,161355
769,"['1008361374869794816', '1008365849823072257']",4.0,161355
770,"['1008361374869794816', '1008365849823072257']",4.0,161355
771,"['1008361374869794816', '1008365849823072257']",4.0,161355
772,"['1008361374869794816', '1008365849823072257']",4.0,161355
773,"['1008361374869794816', '1008365849823072257']",4.0,161355
774,"['1008361374869794816', '1008365849823072257']",4.0,161355
775,"['1008361374869794816', '1008365849823072257']",4.0,161355
776,"['1008361374869794816', '1008365849823072257']",4.0,161355
777,"['1008361374869794816', '1008365849823072257']",4.0,161355
778,"['1008361374869794816', '1008365849823072257']",4.0,161355
779,"['1008361374869794816', '1008365849823072257']",4.0,161355
780,"['1008361374869794816', '1008365849823072257']",4.0,161355
781,"['1008361374869794816', '1008365849823072257']",4.0,161355
782,"['1008361374869794816', '1008365849823072257']",4.0,161355
783,"['1008361374869794816', '1008365849823072257']",4.0,161355
784,"['1008361374869794816', '1008365849823072257']",4.0,161355
785,"['1008361374869794816', '1008365849823072257']",4.0,161355
786,"['1008361374869794816', '1008365849823072257']",4.0,161355
787,"['1008361374869794816', '1008365849823072257']",4.0,161355
788,"['1008361374869794816', '1008365849823072257']",4.0,161355
789,"['1008361374869794816', '1008365849823072257']",4.0,161355
790,"['1008361374869794816', '1008365849823072257']",4.0,161355
791,"['1008361374869794816', '1008365849823072257']",4.0,161355
792,"['1008361374869794816', '1008365849823072257']",4.0,161355
793,"['1008361374869794816', '1008365849823072257']",4.0,161355
794,"['1008361374869794816', '1008365849823072257']",4.0,161355
795,"['1008361374869794816', '1008365849823072257']",4.0,161355
796,"['1008361374869794816', '1008365849823072257']",4.0,161355
797,"['1008361374869794816', '1008365849823072257']",4.0,161355
798,"['1008361374869794816', '1008365849823072257']",4.0,161355
799,"['1008361374869794816', '1008365849823072257']",4.0,161355
800,"['1008361374869794816', '1008365849823072257']",4.0,161355
801,"['1008361374869794816', '1008365849823072257']",4.0,161355
802,"['1008361374869794816', '1008365849823072257']",4.0,161355
803,"['1008361374869794816', '1008365849823072257']",4.0,161355
804,"['1008361374869794816', '1008365849823072257']",4.0,161355
805,"['1008361374869794816', '1008365849823072257']",4.0,161355
806,"['1008361374869794816', '1008365849823072257']",4.0,161355
807,"['1008361374869794816', '1008365849823072257']",4.0,161355
808,"['1008361374869794816', '1008365849823072257']",4.0,161355
809,"['1008361374869794816', '1008365849823072257']",4.0,161355
810,"['1008361374869794816', '1008365849823072257']",4.0,161355
811,"['1008361374869794816', '1008365849823072257']",4.0,161355
812,"['1008361374869794816', '1008365849823072257']",4.0,161355
813,"['1008361374869794816', '1008365849823072257']",4.0,161355
814,"['1008361374869794816', '1008365849823072257']",4.0,161355
815,"['1008361374869794816', '1008365849823072257']",4.0,161355
816,"['1008361374869794816', '1008365849823072257']",4.0,161355
817,"['1008361374869794816', '1008365849823072257']",4.0,161355
818,"['1008361374869794816', '1008365849823072257']",4.0,161355
819,"['1008361374869794816', '1008365849823072257']",4.0,161355
820,"['1008361374869794816', '1008365849823072257']",4.0,161355
821,"['1008361374869794816', '1008365849823072257']",4.0,161355
822,"['1008361374869794816', '1008365849823072257']",4.0,161355
823,"['1008361374869794816', '1008365849823072257']",4.0,161355
824,"['1008361374869794816', '1008365849823072257']",4.0,161355
825,"['1008361374869794816', '1008365849823072257']",4.0,161355
826,"['1008361374869794816', '1008365849823072257']",4.0,161355
827,"['1008361374869794816', '1008365849823072257']",4.0,161355
828,"['1008361374869794816', '1008365849823072257']",4.0,161355
829,"['1008361374869794816', '1008365849823072257']",4.0,161355
830,"['1008361374869794816', '1008365849823072257']",4.0,161355
831,"['1008361374869794816', '1008365849823072257']",4.0,161355
832,"['1008361374869794816', '1008365849823072257']",4.0,161355
833,"['1008361374869794816', '1008365849823072257']",4.0,161355
834,"['1008361374869794816', '1008365849823072257']",4.0,161355
835,"['1008361374869794816', '1008365849823072257']",4.0,161355
836,"['1008361374869794816', '1008365849823072257']",4.0,161355
837,"['1008361374869794816', '1008365849823072257']",4.0,161355
838,"['1008361374869794816', '1008365849823072257']",4.0,161355
839,"['1008361374869794816', '1008365849823072257']",4.0,161355
840,"['1008361374869794816', '1008365849823072257']",4.0,161355
841,"['1008361374869794816', '1008365849823072257']",4.0,161355
842,"['1008361374869794816', '1008365849823072257']",4.0,161355
843,"['1008361374869794816', '1008365849823072257']",4.0,161355
844,"['1008361374869794816', '1008365849823072257']",4.0,161355
845,"['1008361374869794816', '1008365849823072257']",4.0,161355
846,"['1008361374869794816', '1008365849823072257']",4.0,161355
847,"['1008361374869794816', '1008365849823072257']",4.0,161355
848,"['1008361374869794816', '1008365849823072257']",4.0,161355
849,"['1008361374869794816', '1008365849823072257']",4.0,161355
850,"['1008361374869794816', '1008365849823072257']",4.0,161355
851,"['1008361374869794816', '1008365849823072257']",4.0,161355
852,"['1008361374869794816', '1008365849823072257']",4.0,161355
853,"['1008361374869794816', '1008365849823072257']",4.0,161355
854,"['1008361374869794816', '1008365849823072257']",4.0,161355
855,"['1008361374869794816', '1008365849823072257']",4.0,161355
856,"['1008361374869794816', '1008365849823072257']",4.0,161355
857,"['1008361374869794816', '1008365849823072257']",4.0,161355
858,"['1008361374869794816', '1008365849823072257']",4.0,161355
859,"['1008361374869794816', '1008365849823072257']",4.0,161355
860,"['1008361374869794816', '1008365849823072257']",4.0,161355
861,"['1008361374869794816', '1008365849823072257']",4.0,161355
862,"['1008361374869794816', '1008365849823072257']",4.0,161355
863,"['1008361374869794816', '1008365849823072257']",4.0,161355
864,"['1008361374869794816', '1008365849823072257']",4.0,161355
865,"['1008361374869794816', '1008365849823072257']",4.0,161355
866,"['1008361374869794816', '1008365849823072257']",4.0,161355
867,"['1008361374869794816', '1008365849823072257']",4.0,161355
868,"['1008361374869794816', '1008365849823072257']",4.0,161355
869,"['1008361374869794816', '1008365849823072257']",4.0,161355
870,"['1008361374869794816', '1008365849823072257']",4.0,161355
871,"['1008361374869794816', '1008365849823072257']",4.0,161355
872,"['1008361374869794816', '1008365849823072257']",4.0,161355
873,"['1008361374869794816', '1008365849823072257']",4.0,161355
874,"['1008361374869794816', '1008365849823072257']",4.0,161355
875,"['1008361374869794816', '1008365849823072257']",4.0,161355
876,"['1008361374869794816', '1008365849823072257']",4.0,161355
877,"['1008361374869794816', '1008365849823072257']",4.0,161355
878,"['1008361374869794816', '1008365849823072257']",4.0,161355
879,"['1008361374869794816', '1008365849823072257']",4.0,161355
880,"['1008361374869794816', '1008365849823072257']",4.0,161355
881,"['1008361374869794816', '1008365849823072257']",4.0,161355
882,"['1008361374869794816', '1008365849823072257']",4.0,161355
883,"['1008361374869794816', '1008365849823072257']",4.0,161355
884,"['1008361374869794816', '1008365849823072257']",4.0,161355
885,"['1008361374869794816', '1008365849823072257']",4.0,161355
886,"['1008361374869794816', '1008365849823072257']",4.0,161355
887,"['1008361374869794816', '1008365849823072257']",4.0,161355
888,"['1008361374869794816', '1008365849823072257']",4.0,161355
889,"['1008361374869794816', '1008365849823072257']",4.0,161355
890,"['1008361374869794816', '1008365849823072257']",4.0,161355
891,"['1008361374869794816', '1008365849823072257']",4.0,161355
892,"['1008361374869794816', '1008365849823072257']",4.0,161355
893,"['1008361374869794816', '1008365849823072257']",4.0,161355
894,"['1008361374869794816', '1008365849823072257']",4.0,161355
895,"['1008361374869794816', '1008365849823072257']",4.0,161355
896,"['1008361374869794816', '1008365849823072257']",4.0,161355
897,"['1008361374869794816', '1008365849823072257']",4.0,161355
898,"['1008361374869794816', '1008365849823072257']",4.0,161355
899,"['1008361374869794816', '1008365849823072257']",4.0,161355
900,"['1008361374869794816', '1008365849823072257']",4.0,161355
901,"['1008361374869794816', '1008365849823072257']",4.0,161355
902,"['1008361374869794816', '1008365849823072257']",4.0,161355
903,"['1008361374869794816', '1008365849823072257']",4.0,161355
904,"['1008361374869794816', '1008365849823072257']",4.0,161355
905,"['1008361374869794816', '1008365849823072257']",4.0,161355
906,"['1008361374869794816', '1008365849823072257']",4.0,161355
907,"['1008361374869794816', '1008365849823072257']",4.0,161355
908,"['1008361374869794816', '1008365849823072257']",4.0,161355
909,"['1008361374869794816', '1008365849823072257']",4.0,161355
910,"['1008361374869794816', '1008365849823072257']",4.0,161355
911,"['1008361374869794816', '1008365849823072257']",4.0,161355
912,"['1008361374869794816', '1008365849823072257']",4.0,161355
913,"['1008361374869794816', '1008365849823072257']",4.0,161355
914,"['1008365468334284801', '1008366242049163264']",4.0,2
915,"['1008363647628992514', '1008365881292935168']",1.0,1
916,"['1008361736544686083', '1008362300896698368']",1.0,1
917,"['1008359199594700805', '1008360318182051842']",81.0,9
918,"['1008357044053790720', '1008363443567714305']",4.0,2
919,"['1008361056073322498', '1008361087278960641']",1.0,1
920,"['1008358106731106306', '1008365925094100993']",9.0,3
921,"['1008367990717534209', '1008368996117336069']",1.0,1
922,"['1008367565842866177', '1008368999133048832']",1.0,1
923,"['1008359914576666624', '1008359993144369153']",1.0,1
924,"['1008356919482781696', '1008359995711188994']",4.0,2
925,"['1008359546182651905', '1008360776585895936']",1.0,1
926,"['1008358069032456192', '1008360779509313536']",1.0,1
927,"['1008360011565846529', '1008360796303306752']",1.0,1
928,"['1008357858818383872', '1008365661834350592']",81.0,9
929,"['1008366988249501696', '1008368278425698305']",1.0,1
930,"['1008364707500130306', '1008366391941005312']",81.0,9
931,"['1008357628429455361', '1008360441750474752']",1.0,1
932,"['1008358115799109632', '1008358848900616192']",25.0,5
933,"['1008357294956933120', '1008357877361201152']",1.0,1
934,"['1008357165495734272', '1008357662885638144']",4.0,2
935,"['1008359075162226688', '1008368736590589953']",16.0,4
936,"['1008359199594700805', '1008360318182051842']",81.0,9
937,"['1008358334192345088', '1008359831475052546']",1.0,1
938,"['1008360074891419649', '1008365543274045441']",100.0,10
939,"['1008359199594700805', '1008360318182051842']",81.0,9
940,"['1008360334380470273', '1008360918525403136']",1.0,1
941,"['1008361984453238784', '1008364112554942466']",36.0,6
942,"['1008363768231989248', '1008366967143714821']",144.0,12
943,"['1008360192642297856', '1008369134923669506']",1.0,1
944,"['1008358355843403776', '1008359012289728512']",4.0,2
945,"['1008358297374744577', '1008359045122666496']",1.0,1
946,"['1008357700621594625', '1008359057869058048']",198.0,628
947,"['1008359215461797888', '1008359514385547265']",1.0,1
948,"['1008358682634211329', '1008359512703750144']",1.0,1
949,"['1008357801385578496', '1008358037134995456']",1.0,1
950,"['1008357467628204032', '1008358050812645377']",1.0,1
951,"['1008357789838839808', '1008359180317679617']",1.0,1
952,"['1008356782044078081', '1008361411037351936']",10.0,3
953,"['1008357212652294144', '1008357730640424960']",1.0,1
954,"['1008357800156770311', '1008359365865242626']",1.0,1
955,"['1008360074891419649', '1008365543274045441']",100.0,10
956,"['1008368756521828357', '1008369166968066048']",1.0,1
957,"['1008365095905214464', '1008369731508699142']",1.0,1
958,"['1008369534892421120', '1008369756121026561']",1.0,1
959,"['1008366431279468546', '1008367830578823168']",9.0,3
960,"['1008361601429204992', '1008371828371288065']",4.0,2
961,"['1008371625031544832', '1008371839037530112']",1.0,1
962,"['1008371532668768256', '1008371839322779648']",1.0,1
963,"['1008369468685389824', '1008371840610336769']",1.0,1
964,"['1008369246768975873', '1008369416592023554']",25.0,5
965,"['1008368755502698496', '1008369429145628672']",1.0,1
966,"['1008370788423098368', '1008372548323758087']",1.0,1
967,"['1008371043269070848', '1008371463198511107']",1.0,1
968,"['1008368879624695808', '1008371478646181890']",1.0,1
969,"['1008364089687412739', '1008371480571211776']",1.0,1
970,"['1008369460560973825', '1008371484757196801']",1.0,1
971,"['1008362331393462272', '1008372456556507136']",1.0,1
972,"['1008369536553373696', '1008370214260490241']",1.0,1
973,"['1008369713611722752', '1008370214709280769']",1.0,1
974,"['1008370227158114304', '1008370230077378560']",1.0,1
975,"['1008369042921410560', '1008370231763496961']",1.0,1
976,"['1008370813651902465', '1008372644595499008']",1.0,1
977,"['1008371354603868161', '1008372648462766081']",1.0,1
978,"['1008364431078813698', '1008373054974693379']",1.0,1
979,"['1008370598760894464', '1008373053703774208']",1.0,1
980,"['1008365744818536448', '1008371721496190976']",1.0,1
981,"['1008365410704650241', '1008371722217771010']",1.0,1
982,"['1008368469975359489', '1008371731843702784']",1.0,1
983,"['1008368065673740288', '1008369297771515904']",1.0,1
984,"['1008369294462287872', '1008370094605504512']",18.0,6
